circuit,n,B,step,uvc_setup_ms,uvc_prove_ms,uvc_verify_ms,uvc_crs_g1,uvc_crs_g2,uvc_proof_bytes,uvc_peak_mem_mb,g16_setup_ms,g16_prove_ms,g16_verify_ms,g16_crs_g1,g16_crs_g2,g16_proof_bytes,nova_setup_ms,nova_fold_ms,nova_total_fold_ms,nova_compress_ms,nova_verify_ms,nova_proof_bytes
mimc,270,64,1,2812.37,519.53,4.08,86244,34421,128,96.2,56.46,72.19,3.98,1104,274,128,1356.34,24.48,24.48,1073.85,37.34,11520
mimc,270,64,2,2812.37,516.58,4.13,86244,34421,128,96.3,90.17,126.86,4.07,2173,545,128,1356.34,42.13,66.61,1073.85,37.34,11520
mimc,270,64,4,2812.37,522.41,4.14,86244,34421,128,96.3,163.82,208.44,4.17,4343,1087,128,1356.34,56.65,177.09,1073.85,37.34,11520
mimc,270,64,8,2812.37,518.01,4.19,86244,34421,128,96.3,298.21,339.76,3.99,8683,2171,128,1356.34,54.72,396.07,1073.85,37.34,11520
mimc,270,64,16,2812.37,518.42,4.21,86244,34421,128,96.3,476.09,619.47,4.00,17363,4339,128,1356.34,54.52,836.64,1073.85,37.34,11520
mimc,270,64,32,2812.37,519.28,4.13,86244,34421,128,96.3,876.97,1077.40,3.97,34723,8675,128,1356.34,60.28,1774.57,1073.85,37.34,11520
mimc,270,64,64,2812.37,521.39,4.08,86244,34421,128,96.4,1655.93,1905.90,4.08,69443,17347,128,1356.34,54.83,3607.28,1073.85,37.34,11520
mimc,1080,16,1,2844.40,623.62,4.11,84432,33515,128,48.4,162.68,204.93,3.98,4334,1084,128,1335.54,24.93,24.93,1103.68,35.91,11520
mimc,1080,16,2,2844.40,620.80,4.08,84432,33515,128,50.0,284.61,343.72,4.20,8665,2165,128,1335.54,43.11,68.04,1103.68,35.91,11520
mimc,1080,16,4,2844.40,627.67,4.10,84432,33515,128,50.0,505.55,620.27,3.97,17327,4327,128,1335.54,57.76,183.57,1103.68,35.91,11520
mimc,1080,16,8,2844.40,626.03,4.07,84432,33515,128,50.0,900.68,1099.72,3.99,34651,8651,128,1335.54,59.48,416.59,1103.68,35.91,11520
mimc,1080,16,16,2844.40,617.99,4.21,84432,33515,128,50.0,1714.19,1899.70,4.01,69299,17299,128,1335.54,57.06,877.53,1103.68,35.91,11520
mimc,1080,64,1,10323.61,1854.28,4.08,344208,137291,128,367.9,162.68,204.93,3.98,4334,1084,128,1335.54,24.93,24.93,1103.68,35.91,11520
mimc,1080,64,2,10323.61,1862.68,4.09,344208,137291,128,370.0,284.61,343.72,4.20,8665,2165,128,1335.54,43.11,68.04,1103.68,35.91,11520
mimc,1080,64,4,10323.61,1883.85,4.17,344208,137291,128,370.2,505.55,620.27,3.97,17327,4327,128,1335.54,57.76,183.57,1103.68,35.91,11520
mimc,1080,64,8,10323.61,1875.94,4.25,344208,137291,128,370.2,900.68,1099.72,3.99,34651,8651,128,1335.54,59.48,416.59,1103.68,35.91,11520
mimc,1080,64,16,10323.61,1869.45,4.12,344208,137291,128,370.2,1714.19,1899.70,4.01,69299,17299,128,1335.54,57.06,877.53,1103.68,35.91,11520
mimc,1080,64,32,10323.61,1889.91,4.23,344208,137291,128,370.2,2976.76,3526.54,3.96,138595,34595,128,1335.54,78.74,1883.75,1103.68,35.91,11520
mimc,1080,64,64,10323.61,1894.01,4.14,344208,137291,128,372.4,5683.20,6538.74,4.00,277187,69187,128,1335.54,56.97,3763.96,1103.68,35.91,11520
mimc,4320,16,1,9677.25,2212.51,4.15,337536,133955,128,181.7,474.24,615.90,3.99,17318,4324,128,1358.14,31.26,31.26,1118.81,37.34,11520
mimc,4320,16,2,9677.25,2190.18,4.12,337536,133955,128,181.7,866.07,1078.61,3.97,34633,8645,128,1358.14,52.18,83.44,1118.81,37.34,11520
mimc,4320,16,4,9677.25,2195.06,4.26,337536,133955,128,181.7,1655.66,1902.66,3.96,69263,17287,128,1358.14,66.05,213.41,1118.81,37.34,11520
mimc,4320,16,8,9677.25,2194.59,4.19,337536,133955,128,181.7,3044.05,3542.13,3.97,138523,34571,128,1358.14,67.46,487.61,1118.81,37.34,11520
